Date,SKU,Region,Channel,Units Sold,Unit Price,Revenue
2024-01-01,Travel Duffel 30L,US,DTC,16,150.0,2400.0
2024-01-01,Travel Duffel 30L,US,Wholesale,26,127.5,3315.0
2024-01-01,Travel Duffel 30L,EU,DTC,12,150.0,1800.0
2024-01-01,Travel Duffel 30L,EU,Wholesale,31,127.5,3952.5
2024-01-01,Travel Duffel 30L,Asia,DTC,11,150.0,1650.0
2024-01-01,Travel Duffel 30L,Asia,Wholesale,34,127.5,4335.0
2024-01-01,Travel Duffel 45L,US,DTC,12,170.0,2040.0
2024-01-01,Travel Duffel 45L,US,Wholesale,38,144.5,5491.0
2024-01-01,Travel Duffel 45L,EU,DTC,17,170.0,2890.0
2024-01-01,Travel Duffel 45L,EU,Wholesale,31,144.5,4479.5
2024-01-01,Travel Duffel 45L,Asia,DTC,21,170.0,3570.0
2024-01-01,Travel Duffel 45L,Asia,Wholesale,25,144.5,3612.5
2024-01-01,Everyday Backpack 20L,US,DTC,18,180.0,3240.0
2024-01-01,Everyday Backpack 20L,US,Wholesale,23,153.0,3519.0
2024-01-01,Everyday Backpack 20L,EU,DTC,16,180.0,2880.0
2024-01-01,Everyday Backpack 20L,EU,Wholesale,35,153.0,5355.0
2024-01-01,Everyday Backpack 20L,Asia,DTC,32,180.0,5760.0
2024-01-01,Everyday Backpack 20L,Asia,Wholesale,31,153.0,4743.0
2024-01-01,Everyday Backpack 30L,US,DTC,14,200.0,2800.0
2024-01-01,Everyday Backpack 30L,US,Wholesale,23,170.0,3910.0
2024-01-01,Everyday Backpack 30L,EU,DTC,22,200.0,4400.0
2024-01-01,Everyday Backpack 30L,EU,Wholesale,26,170.0,4420.0
2024-01-01,Everyday Backpack 30L,Asia,DTC,18,200.0,3600.0
2024-01-01,Everyday Backpack 30L,Asia,Wholesale,29,170.0,4930.0
2024-01-01,Capture Clip v3,US,DTC,11,70.0,770.0
2024-01-01,Capture Clip v3,US,Wholesale,40,59.5,2380.0
2024-01-01,Capture Clip v3,EU,DTC,20,70.0,1400.0
2024-01-01,Capture Clip v3,EU,Wholesale,47,59.5,2796.5
2024-01-01,Capture Clip v3,Asia,DTC,20,70.0,1400.0
2024-01-01,Capture Clip v3,Asia,Wholesale,52,59.5,3094.0
2024-01-01,Capture Clip Pro,US,DTC,16,90.0,1440.0
2024-01-01,Capture Clip Pro,US,Wholesale,43,76.5,3289.5
2024-01-01,Capture Clip Pro,EU,DTC,21,90.0,1890.0
2024-01-01,Capture Clip Pro,EU,Wholesale,34,76.5,2601.0
2024-01-01,Capture Clip Pro,Asia,DTC,15,90.0,1350.0
2024-01-01,Capture Clip Pro,Asia,Wholesale,41,76.5,3136.5
2024-01-01,Tech Pouch,US,DTC,17,60.0,1020.0
2024-01-01,Tech Pouch,US,Wholesale,31,51.0,1581.0
2024-01-01,Tech Pouch,EU,DTC,25,60.0,1500.0
2024-01-01,Tech Pouch,EU,Wholesale,22,51.0,1122.0
2024-01-01,Tech Pouch,Asia,DTC,25,60.0,1500.0
2024-01-01,Tech Pouch,Asia,Wholesale,33,51.0,1683.0
2024-01-01,Wash Pouch,US,DTC,20,65.0,1300.0
